year,Only Marijuana Possession Convictions,Any Marijuana Possession Convictions,Misdemeanor Only Marijuana Convictions,Felony Only Marijuana Convictions
2010,3688,5108,2951,736
2011,3473,4727,2727,745
2012,3295,4599,2515,780
2013,3233,4731,2545,688
2014,3110,4758,2432,678
2015,2790,4333,2200,589
2016,2654,4310,2123,531
2017,2729,4388,2211,516
2018,2728,4511,2233,494
2019,2422,4021,2004,418
