year,Statewide <b>without </b>Milwaukee,Statewide <b>with</b> Milwaukee
2010,2131,2951
2011,2015,2727
2012,1989,2515
2013,2151,2545
2014,2080,2432
2015,1980,2200
2016,2006,2123
2017,2136,2211
2018,2182,2233
2019,1957,2004
