party__raceDesc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
African American,912,898,720,499,431,284,134,91,74,43
American Indian or Alaskan Native,0,2,1,0,4,2,0,0,1,0
Asian or Pacific Islander,2,4,5,3,0,0,2,0,1,1
Caucasian,183,123,102,89,64,34,24,6,10,6
Hispanic,30,22,24,7,15,7,6,5,4,1
Unknown,2,2,0,0,0,0,0,0,0,0
