year,Statewide <b>without </b>Milwaukee,Statewide <b>with</b> Milwaukee
2010,2559,3688
2011,2422,3473
2012,2443,3295
2013,2634,3233
2014,2596,3110
2015,2463,2790
2016,2488,2654
2017,2627,2729
2018,2638,2728
2019,2371,2422
