year,Statewide <b>without </b>Milwaukee,Statewide <b>with</b> Milwaukee
2010,3823,5108
2011,3564,4727
2012,3637,4599
2013,4014,4731
2014,4148,4758
2015,3895,4333
2016,4040,4310
2017,4210,4388
2018,4355,4511
2019,3925,4021
