county_name,2019
Racine,245
Brown,221
Eau Claire,161
Waushara,150
Wood,142
Marathon,141
Winnebago,129
Waukesha,127
Columbia,123
Monroe,113
Ozaukee,113
Calumet,109
Fond du Lac,108
Manitowoc,108
Rock,103
Outagamie,101
Sheboygan,100
Walworth,100
Milwaukee,96
Kenosha,87
Green Lake,75
Dodge,65
Shawano,64
Waupaca,62
Sauk,52
Dane,50
