milw_or_other,2015,2016,2017,2018,2019,2020,2021,2022,2023
Milwaukee Police Department,3750,3720,3793,3650,2606,2668,2652,2225,2510
Other Law Enforcement Agency,1847,2000,2096,2296,3015,2449,2486,2806,3312
