milw_or_other,2015,2016,2017,2018,2019,2020,2021,2022,2023
Milwaukee Police Department,3750,3720,3791,3651,2606,2665,2651,2215,2503
Other Law Enforcement Agency,1847,2000,2096,2295,3015,2450,2486,2805,3277
