V1,V2,V3,V4
Felony Charge YTD,Misdemeanor Charge YTD,Gun Charge YTD,Violent Felony Charge YTD
"<b>3,613</b>","<b>4,268</b>","<b>1,363</b>","<b>1,729</b>"
a <b> -14.87% </b> decrease since last year.,a <b> -16.25% </b> decrease since last year.,a <b>2.02% </b> increase since last year.,a <b> -10.42% </b> decrease since last year.
<b>-802</b> less than a 5 year average.,"<b>-1,012</b> less than a 5 year average.",<b>-132.6</b> less than a 5 year average.,<b>-73</b> less than a 5 year average.
