,year,asian,hispanic,hispanic black,native american,nh black,nh white,not specified
0,2015,121,1487,4,78,8010,4179,27
1,2016,164,1537,4,115,8114,4300,49
2,2017,196,1463,10,89,8518,4429,26
3,2018,203,1653,4,95,8545,4374,40
4,2019,195,1716,6,93,8196,4208,48
