year,African American,American Indian or Alaskan Native,Asian or Pacific Islander,Caucasian,Hispanic,Unknown
2015,5466,56,61,2970,617,5
2016,5140,60,68,2583,568,6
2017,4913,53,69,2403,537,5
2018,4739,39,66,2230,523,4
2019,4687,63,75,2235,586,3
2020,2146,27,37,1017,258,9
2021,2928,29,52,1499,319,6
2022,4080,42,115,1770,405,20
2023,4227,22,67,1597,421,50
